tsne_2d_one,tsne_2d_two
-0.4978746,6.088995
-0.4961903,6.0872393
-0.4943789,6.0853233
-0.4925102,6.083369
-0.49065727,6.081403
-0.4888889,6.0794663
-0.48726094,6.0777597
-0.485763,6.076119
-0.48438793,6.0746207
-0.40995502,5.9932942
-0.5106517,6.101996
-0.5103921,6.1017075
-0.51005054,6.1013308
-0.50962865,6.100866
-0.5091422,6.1003284
-0.5086122,6.0997524
-0.507349,6.0983667
-0.50743145,6.098498
-0.507453,6.0985575
-0.50722307,6.098362
-0.50699574,6.0981665
-0.5066592,6.0978775
-0.50600153,6.097236
-0.5056346,6.096877
-0.50487334,6.096111
-0.50389254,6.0950828
-0.5026927,6.093823
-0.50129116,6.092345
-0.50892544,6.10009
-0.5082529,6.099346
-0.5078676,6.0989404
-0.50724655,6.098269
-0.5065984,6.097581
-0.50596225,6.0969133
-0.5054093,6.096347
-0.5049262,6.095864
-0.5044648,6.095433
-0.503961,6.094948
-0.5033754,6.09438
-0.50263184,6.0936327
-0.47892806,6.067638
-0.4779798,6.0666404
-0.47714472,6.065759
-0.4763519,6.0649242
-0.47560537,6.064202
-0.4748279,6.06333
-0.47407475,6.062541
-0.47335577,6.0617914
-0.47262773,6.061028
-0.47188073,6.06024
-0.47106743,6.0593696
-0.47012654,6.058351
-0.3997143,5.9818707
-0.39913243,5.981222
-0.5033977,6.093838
-0.50324345,6.093671
-0.5029445,6.093345
-0.5024631,6.092853
-0.50188464,6.0922155
-0.50128806,6.0915613
-0.5008192,6.091058
-0.50053036,6.090768
-0.5004266,6.0906963
-0.46533117,6.052497
-0.4642125,6.0512514
-0.462922,6.0498104
-0.46170238,6.0484724
-0.46039066,6.046991
-0.45901817,6.045475
-0.45749435,6.043852
-0.45593017,6.042174
-0.45444688,6.040506
-0.45300668,6.038938
-0.45169634,6.0376277
-0.45055202,6.036403
-0.4495208,6.0353007
-0.44842166,6.034116
-0.44717637,6.0327764
-0.46998334,6.0573606
-0.46979845,6.0572357
-0.46959662,6.057087
-0.4694036,6.0569487
-0.46912938,6.0567093
-0.46879274,6.0564013
-0.46758384,6.055146
-0.4678642,6.0555043
-0.4673547,6.055004
-0.46681708,6.054467
-0.46632305,6.053973
-0.46571678,6.053344
-0.4651579,6.0527706
-0.4645121,6.05208
-0.46376938,6.051272
-0.4629788,6.05041
-0.46213233,6.0494847
-0.4612878,6.0485253
-0.46033892,6.0474634
-0.4596295,6.045996
-0.45864323,6.0448914
-0.45752767,6.043663
-0.45627505,6.042261
-0.4548843,6.040744
-0.4533393,6.039054
-0.4517054,6.037362
-0.45014268,6.035658
-0.44863206,6.034031
-0.44723365,6.0325193
-0.44590828,6.031094
-0.4446457,6.029726
-0.4433202,6.028295
-0.44180605,6.026673
-0.43996257,6.024645
-0.43768853,6.022163
-0.42135525,6.0042806
-0.41961905,6.002434
-0.41749728,6.000139
-0.41564035,5.9981523
-0.41370448,5.9960794
-0.4115866,5.9938874
-0.40936702,5.9915476
-0.40702406,5.988994
-0.40459988,5.986379
-0.40208942,5.9837136
-0.3996535,5.9810605
-0.3972737,5.9784565
-0.39500263,5.9759655
